secondary structure, precision, recall, f-score
L,0.588216119306,0.685600303951,0.633185666038
B,0.666666666667,0.073482428115,0.132374100719
E,0.807053132558,0.846550454211,0.826330084678
G,0.545191612437,0.327541268462,0.409226594301
I,0.0,0.0,0.0
H,0.866672721493,0.943820780377,0.903603049098
S,0.567415730337,0.224944320713,0.322169059011
T,0.588967691095,0.593174603175,0.591063661526
mean,0.578772959237,0.461889269875,0.477244026922
